2018-07-10 11:18:57.359 [main] INFO  com.core.CoreApplication - The following profiles are active: dev
2018-07-10 11:18:57.408 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7b43cd20: startup date [Tue Jul 10 11:18:57 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@494c452b
2018-07-10 11:19:01.743 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-07-10 11:19:02.250 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-07-10 11:19:02.441 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.core.dao.repository.PermissionRepository.
2018-07-10 11:19:02.455 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.core.dao.repository.RolePermissionRepository.
2018-07-10 11:19:02.459 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.core.dao.repository.RoleRepository.
2018-07-10 11:19:02.461 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.core.dao.repository.SysLogRepository.
2018-07-10 11:19:02.468 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.core.dao.repository.TestRepository.
2018-07-10 11:19:02.469 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.core.dao.repository.UserRepository.
2018-07-10 11:19:02.470 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.core.dao.repository.UserRoleRepository.
